id,nombre,nombre_compania,ubicacion_sede,descripcion,web,fecha_alta,ultima_verificacion,fuente,estado
aceros-de-hispania,Aceros de Hispania,"Aceros de Hispania Bajo Aragón, S.L","Castelserás, Teruel","Cuchillos, navajas y espadas. Otros artículos",https://www.aceros-de-hispania.com/,2026-07-31,2026-07-31,https://www.aceros-de-hispania.com/,activo
barrabes,Barrabes,Barrabes,"Benasque, Huesca",Venta de material de montaña y esquí.,https://www.barrabes.com/,2026-07-31,2026-07-31,https://www.barrabes.com/,activo
funidelia,Funidelia,FUNIGLOBAL DEVELOPMENT,"Zaragoza, Zaragoza",Venta de disfraces.,https://www.funidelia.es/,2026-07-31,2026-07-31,https://www.funidelia.es/,activo
la-finesse-truffles,La Finesse Truffles,La Finesse Truffles,"Teruel, Teruel",Venta de trufa negra de Teruel,https://lafinesse.es/,2026-07-31,2026-07-31,https://lafinesse.es/,activo
flip-and-flip,Flip&Flip,Flip&Flip,"Fuentes de Ebro, Zaragoza",Productos de moda 'eco' con materiales reciclados,https://www.flipandflip.com/,2026-07-31,2026-07-31,https://www.flipandflip.com/,activo
